,host_name,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews_per_year
0,Ann,38432518,South Austin Oasis -Whole House Pool/HotTub,87824094,no_group,78745,30.21191,-97.81108,entire home/apt,393,3,13,2021-07-08,13.0,1,0,156.0
1,Marisa,40675868,Beautiful Eastside Home,5124147,no_group,78724,30.30803,-97.65246,entire home/apt,168,2,50,2021-07-08,3.02,1,283,36.24
2,Cait & Joey,29015105,Modern ATX House - 10 Min to Downtown!,6256882,no_group,78752,30.3266,-97.69795,entire home/apt,131,1,55,2021-07-08,1.64,1,98,19.68
3,Sessil,47952783,Tiny Home Extraordinaire | Stylish | Private,343836805,no_group,78745,30.21388,-97.81356,entire home/apt,90,2,36,2021-07-08,7.71,15,94,92.52
4,Deanne,47784259,Lakeline Mall* Fast WiFi*Modern decor,83747773,no_group,78717,30.47064,-97.79479,entire home/apt,150,1,15,2021-07-08,8.04,3,56,96.47999999999999
5,Alex,35653152,Elliott House,268223617,no_group,78753,30.35541,-97.70066,entire home/apt,66,1,174,2021-07-08,7.83,1,2,93.96000000000001
6,Alex,50508542,Cozy Dog Friendly modern Apt in Mueller Area.,40493745,no_group,78723,30.30116,-97.70063,entire home/apt,92,2,3,2021-07-08,3.0,2,279,36.0
7,Alison,49690755,Live Like an Austinite in South ATX Hidden Gem 💎,192792688,no_group,78749,30.20732,-97.85126,entire home/apt,154,2,10,2021-07-08,10.0,2,74,120.0
8,John,35616280,Light Filled Condo Near Zilker + Lamar + Downtown,37072291,no_group,78704,30.23541,-97.78113,entire home/apt,193,2,71,2021-07-08,11.15,1,124,133.8
9,Alex,14775358,Nice Quiet  Neighborhood,92204314,no_group,78754,30.36968,-97.66393,entire home/apt,284,2,198,2021-07-08,4.82,1,228,57.84
10,Jon & Cherry,45511551,*Mid-Century Modern Retreat*  Outdoor Living Space,67797405,no_group,78736,30.2516,-97.91671,entire home/apt,311,1,52,2021-07-08,27.37,2,130,328.44
11,Lyles & Co,49739361,Near the Lakes w pool view 6 mins to AUS Airport,401158265,no_group,78741,30.22543,-97.70483,entire home/apt,134,1,18,2021-07-08,12.56,2,160,150.72
12,WanderJaunt,48092213,WanderJaunt | Tarlton | 2BR | Central Austin,104309976,no_group,78705,30.28943,-97.74662,entire home/apt,151,1,9,2021-07-08,9.0,142,16,108.0
13,Sessil,47454816,Stylish Home | Just a walk away from Downtown!,343836805,no_group,78702,30.25664,-97.73378,private room,137,1,48,2021-07-08,8.28,15,0,99.35999999999999
14,Austin Home,41022790,NEW Luxury Modern Home in Austin,108357789,no_group,78752,30.33701,-97.70642,entire home/apt,225,1,70,2021-07-08,48.84,1,79,586.08
15,Blake,32528913,Sanitized Private Carriage House in East Austin,26119159,no_group,78702,30.27705,-97.7151,entire home/apt,93,1,187,2021-07-08,7.78,1,103,93.36
16,Matthew,14632346,Comfort & Convenience in Backyard Studio w/Kitchen,37716788,no_group,78721,30.270338654016125,-97.69428054275647,entire home/apt,67,1,349,2021-07-08,87.98,1,32,1055.76
17,Erin And Robert,17103933,Cloud Cottage: Private Guesthouse,114816577,no_group,78756,30.33024,-97.73347,entire home/apt,63,1,443,2021-07-08,9.66,1,268,115.92
18,Gary,17895096,Entire 2 Floors - Perfect Modern Home - Austin,1640172,no_group,78724,30.28198,-97.64818,private room,119,1,135,2021-07-08,3.23,2,55,38.76
19,Jami,28586138,ATX Cozy Tiny House,9228108,no_group,78752,30.33171,-97.69612,entire home/apt,92,2,246,2021-07-08,20.5,1,99,246.0
20,Josue,14979866,Cozy private room in a great location,94387756,no_group,78741,30.23106,-97.69233,private room,46,1,222,2021-07-08,4.64,2,326,55.67999999999999
21,Scott,49193557,Charming Austin Oasis - Beautiful Pool!,396806507,no_group,78704,30.22984,-97.76541,entire home/apt,566,3,7,2021-07-08,2.84,1,190,34.08
22,J. Michael,25510652,3 beds! ATX Night Life,46979459,no_group,78741,30.23269,-97.73186,private room,40,1,129,2021-07-08,3.6,2,71,43.2
23,Steven & Jennifer,49154238,"Comfy Stay w/ Games, Fast WiFi + King Bed | 1BR",35817561,no_group,78756,30.31972,-97.73206,entire home/apt,109,1,9,2021-07-08,4.15,20,357,49.800000000000004
24,Taylor,46327282,"Large elegant home, quiet, king size beds, patios",250756711,no_group,78734,30.36778,-97.9196,entire home/apt,293,2,40,2021-07-08,5.36,1,70,64.32000000000001
25,Creative,48888228,A Paradise Regained Suite,386874262,no_group,78741,30.21944,-97.70798,entire home/apt,97,1,11,2021-07-08,3.17,5,331,38.04
26,Freeman,42542237,Privet room for rent in a house,338858304,no_group,78744,30.20288,-97.70103,private room,65,1,4,2021-07-08,3.0,1,331,36.0
27,Raul,42541133,Deep Cleaned by cleaning company-Fast Wifi-Big Hom,338843493,no_group,78744,30.20171,-97.69207,entire home/apt,141,1,61,2021-07-08,3.67,1,284,44.04
28,Kayla,46383785,Brand New-Austin Babes Bungalow,213993891,no_group,78744,30.15905,-97.7816,entire home/apt,250,2,52,2021-07-08,12.28,1,54,147.35999999999999
29,Althea,42468404,Travis Heights Studio Retreat under 1 mile to SoCo,53644901,no_group,78704,30.24053,-97.73985,entire home/apt,110,2,36,2021-07-08,23.48,1,69,281.76
30,CJ And Katie,8668966,Tiny Cabin in Hill Country on 1.5 Acre Mini-Farm,4459107,no_group,78737,30.15755,-97.96948,entire home/apt,86,2,241,2021-07-08,4.18,1,127,50.16
31,Sessil,47922431,Downtown Condo | WFH desk |  Free Parking,343836805,no_group,78701,30.27966,-97.74358,entire home/apt,109,2,28,2021-07-08,19.09,15,168,229.07999999999998
32,Steven & Jennifer,46779725,"Luxury Staycation, King Bed, 8 Min to DT | Studio",35817561,no_group,78741,30.23116,-97.72018,entire home/apt,105,1,25,2021-07-08,3.61,20,359,43.32
33,Daniel,22555259,Amazing spacious home in the middle of everything!,25405315,no_group,78744,30.19751,-97.73005,entire home/apt,235,1,144,2021-07-08,5.55,3,88,66.6
34,Carrie & Danny,5115219,The PERFECT location for your East Austin getaway!,12912851,no_group,78722,30.28093,-97.7187,entire home/apt,159,1,10,2021-07-08,6.38,1,106,76.56
35,Reid,18275385,The Jam Room,63253402,no_group,78744,30.16119,-97.74598,private room,41,1,23,2021-07-07,3.81,2,58,45.72
36,Pam And Mitch,18737178,East Austin Gem near Lady Bird Lake Trail,48019979,no_group,78702,30.25112,-97.72324,entire home/apt,136,2,236,2021-07-07,5.86,1,102,70.32000000000001
37,Jake & Mary,49941127,Downtown/Airport Studio w pool access.,402706876,no_group,78741,30.21833,-97.69926,entire home/apt,98,2,13,2021-07-07,9.75,1,153,117.0
38,Caleb,47720637,"The Country ""Tree House"" on the Lake",179123795,no_group,78734,30.3884,-97.96823,entire home/apt,354,1,12,2021-07-07,5.81,1,331,69.72
39,Nathan &,17232532,★Families/Couples★ Perfect for a Home Base,12925390,no_group,78745,30.19753,-97.82552,entire home/apt,101,2,261,2021-07-07,7.28,5,84,87.36
40,Stacy,17794919,Peace Retreat Tiny House,121585763,no_group,78734,30.42504,-97.92678,entire home/apt,123,2,232,2021-07-07,77.33,4,59,927.96
41,Thornton Flats - Marcus,17477168,Modern Apartment in South Lamar Neighborhood #11,117629221,no_group,78704,30.24439,-97.77415,entire home/apt,130,2,88,2021-07-07,2.22,3,63,26.64
42,Mark,17160578,"★Modern,CozyCouple's Getaway w/Relaxing Patio!",17896706,no_group,78701,30.27855,-97.74406,entire home/apt,120,1,413,2021-07-07,7.83,1,20,93.96000000000001
43,Sarah,50022418,✰ Zilker Oasis ✰ Walk to Zilker or S. Lamar/ 2 BDR,236026634,no_group,78704,30.25408,-97.76511,entire home/apt,161,1,12,2021-07-07,12.0,2,307,144.0
44,Gregory,16814846,Shangri-La South 1st,48205630,no_group,78745,30.21492,-97.78216,entire home/apt,189,2,159,2021-07-07,4.69,2,24,56.28
45,Lindsey,47027775,B46 Queen Bed Studio in All Inclusive Community,20851570,no_group,78752,30.32833,-97.7024,entire home/apt,65,1,14,2021-07-07,2.23,29,178,26.759999999999998
46,Lindsey,46417064,B40 Queen Bed Studio in All Inclusive Community,20851570,no_group,78752,30.33034,-97.70269,entire home/apt,70,1,11,2021-07-07,11.0,29,164,132.0
47,Jim,18759044,"Keep it Simple w/2Bed, 1Bath",15697763,no_group,78723,30.31493,-97.69543,entire home/apt,146,1,259,2021-07-07,8.33,2,214,99.96000000000001
48,Meshelle M,43348485,Stylish Tiny Home | Lofted Bed | Snacks & Drinks,7270902,no_group,78721,30.27495,-97.68511,entire home/apt,100,2,78,2021-07-07,24.38,15,180,292.56
49,Ames - Austin Vacay,19295842,Zilker Park + Downtown + Barton Springs in a Breeze,50214619,no_group,78704,30.25194,-97.76762,entire home/apt,99,1,316,2021-07-07,9.6,13,339,115.19999999999999
50,Matt,48158463,East Austin Luxury Casita - Minutes from Downtown,50148335,no_group,78721,30.27283,-97.68504,entire home/apt,137,1,29,2021-07-07,6.96,1,54,83.52
51,Devon,49323119,William Cannon South Austin Getaway Prime location,200281507,no_group,78744,30.1608,-97.72954,entire home/apt,249,1,19,2021-07-07,8.26,1,55,99.12
52,Indigo Austin,48867583,✨ One King Bedroom Room,386381014,no_group,78701,30.26869,-97.73756,entire home/apt,131,1,150,2021-07-07,150.0,2,132,1800.0
53,Holiday Inn Express,48867186,✨ Standard Queen/Queen Room,386379154,no_group,78701,30.27038,-97.73737,entire home/apt,116,1,120,2021-07-07,120.0,2,140,1440.0
54,Holiday Inn Express,48867010,✨ Classic King Room,386379154,no_group,78701,30.26839,-97.73619,entire home/apt,116,1,141,2021-07-07,47.53,2,141,570.36
55,Cata,22468288,"""The Armadillo"" A Tex-Zen Retreat w Pool & Hot Tub",162685384,no_group,78734,30.39487,-97.91901,private room,139,1,63,2021-07-07,4.02,6,276,48.239999999999995
56,Naz,49449203,Comfy & clean private suite,21327507,no_group,78724,30.28292,-97.62808,private room,55,1,28,2021-07-07,11.83,1,26,141.96
57,Creative,49483723,The Pearl Suite,386874262,no_group,78741,30.22074,-97.70778,entire home/apt,77,1,18,2021-07-07,8.31,5,293,99.72
58,Brett,28637495,Modern SoCo Condo in the Heart of SXSW!,2934425,no_group,78704,30.25156,-97.74388,entire home/apt,93,1,192,2021-07-07,6.03,7,42,72.36
59,Nick,48622123,Modern 1 Bdrm  - Short Drive to Downtown Austin!,42328749,no_group,78748,30.18079,-97.80762,entire home/apt,79,1,49,2021-07-07,13.87,1,55,166.44
60,Anna & Chad,4974255,Tiny House in the Heart of the East Side,3353143,no_group,78702,30.25622,-97.71446,entire home/apt,111,2,763,2021-07-07,20.46,2,68,245.52
61,Justin,30913064,Discerning Ranch-Style Home with Grassy Backyard,192107757,no_group,78728,30.44187,-97.68695,entire home/apt,100,1,133,2021-07-07,11.02,1,94,132.24
62,Stacy,20363722,Peace Retreat Retro RV,121585763,no_group,78734,30.42021,-97.92545,entire home/apt,90,2,149,2021-07-07,6.27,4,73,75.24
63,Justin,32898594,Panoramic views of Lake Austin high in the hills.,4838083,no_group,78734,30.38055,-97.91579,entire home/apt,348,3,135,2021-07-07,7.36,1,92,88.32000000000001
64,East Austin 1630,48145872,Studio Apt on East 6th St.,385526414,no_group,78702,30.2635,-97.72367,entire home/apt,139,1,33,2021-07-07,16.23,2,353,194.76
65,Jim,48117931,"The Zilker- Luxury Tiny Home in Austin, TX",388019784,no_group,78724,30.28687,-97.63668,entire home/apt,131,2,20,2021-07-07,4.55,3,323,54.599999999999994
66,Ames - Austin Vacay,20267588,78704: Hip 1/1 South Lamar - South Central Austin,50214619,no_group,78704,30.23952,-97.7832,entire home/apt,80,1,214,2021-07-07,4.7,13,351,56.400000000000006
67,Naveed,49754513,Modern 2BR/2BA condo w/ pool - Walk to downtown!,244731137,no_group,78702,30.2593,-97.72317,entire home/apt,136,2,5,2021-07-07,5.0,1,133,60.0
68,Bill,47965881,Enjoy a Heated Pool and lovely Art at The Gallery,3626574,no_group,78704,30.24656,-97.74578,entire home/apt,230,2,36,2021-07-07,8.64,4,255,103.68
69,Roderick,15220915,Cozy east side bungalow,96724294,no_group,78723,30.30508,-97.68672,entire home/apt,150,2,243,2021-07-07,5.67,1,111,68.03999999999999
70,Juliet & Alfredo,19789358,Ongi Etorri - Breakfast & Next to the Airport,1194156,no_group,78725,30.21547,-97.63781,private room,38,1,542,2021-07-07,14.64,1,28,175.68
71,Leticia,19769283,Stand Alone Private Lake Travis Yurt Treehouse 15,133455416,no_group,78734,30.37136,-97.98864,entire home/apt,234,2,193,2021-07-07,4.99,1,124,59.88
72,Paul & Erin,19547838,★ Cute South Congress Studio! Private & comfy! ★5★,17406638,no_group,78704,30.23172,-97.76053,entire home/apt,71,2,284,2021-07-07,5.83,5,306,69.96000000000001
73,Saint Nicks Suites,49836996,"Luxury Modern Suite w/ King Bed,  Super Fast WIFI",387044491,no_group,78702,30.25206,-97.69329,entire home/apt,115,1,3,2021-07-07,3.0,3,300,36.0
74,Paul & Erin,19496423,★Cottage 4 - Great for Exploring SoCo-SLEEPS 4! ★,17406638,no_group,78704,30.23279,-97.75989,entire home/apt,74,2,272,2021-07-07,10.12,5,279,121.44
75,Indigo Austin,47953728,✨Standard Double Room,386381014,no_group,78701,30.26991,-97.73726,entire home/apt,131,1,141,2021-07-07,32.29,2,140,387.48
76,Dan,16941416,"Austin Luxury Retreat near downtown, ACL, SXSW",2776599,no_group,78704,30.25854,-97.76506,entire home/apt,1404,3,12,2021-07-07,0.3,1,323,3.5999999999999996
77,Jeff,50117842,Newly remodeled spacious home in South Austin,684988,no_group,78745,30.21693,-97.77992,entire home/apt,158,1,4,2021-07-07,4.0,1,9,48.0
78,Ben & Allison,50270145,Designer Compound! Airstream! Pool! 7BR/4.5 BA,319916560,no_group,78745,30.1952,-97.81336,entire home/apt,2328,2,3,2021-07-07,3.0,7,22,36.0
79,Cynthia,3475010,"Cozy Studio 2blks from Park, Springs; 2 mi to DT!",15219795,no_group,78704,30.26108,-97.77264,entire home/apt,112,2,67,2021-07-07,0.88,9,258,10.56
80,Pete,140504,1915 Home w/1BR With Modern Flare,578211,no_group,78751,30.30397,-97.73037,entire home/apt,131,20,78,2021-07-07,0.67,9,282,8.040000000000001
81,3 Little Birds,45433986,E 5th St - Perfect Location for Play or Stay!,231468841,no_group,78702,30.25774,-97.71285,entire home/apt,181,3,26,2021-07-07,2.82,1,223,33.839999999999996
82,Joshua,50310946,Lake Travis House Boat Getaway,406257191,no_group,78734,30.4232,-97.95068,entire home/apt,171,1,3,2021-07-07,3.0,1,168,36.0
83,Anna & Chad,12194423,"Spacious, Private Master Suite in East Austin",3353143,no_group,78702,30.25635,-97.71637,entire home/apt,68,2,523,2021-07-07,12.88,2,13,154.56
84,Michael,45117080,Brand New East Austin Casita,14761478,no_group,78722,30.28214,-97.71805,entire home/apt,96,1,116,2021-07-07,15.0,1,34,180.0
85,Blueprint Management Group,50342626,★Pandora Wellness Suite★| Mesmerizing Sunset View!,386930033,no_group,78741,30.21923,-97.70725,entire home/apt,142,1,3,2021-07-07,3.0,5,341,36.0
86,WanderJaunt,44956503,WanderJaunt | Dawson | 1BR | Downtown Austin,104309976,no_group,78701,30.26866,-97.73449,entire home/apt,131,1,26,2021-07-07,8.39,142,86,100.68
87,Meshelle M,40761922,Stylish East Side Bungalow with Sprawling Deck,7270902,no_group,78702,30.25521,-97.72271,entire home/apt,130,1,63,2021-07-07,3.7,15,174,44.400000000000006
88,Adam,44588257,The Austin LoveStream! Walk everywhere!,183569294,no_group,78704,30.24973,-97.75176,entire home/apt,247,2,98,2021-07-07,8.8,1,133,105.60000000000001
89,Stay Local Austin,44448954,NEW Rosewood House in East Austin,18253226,no_group,78702,30.27164,-97.71963,entire home/apt,349,2,34,2021-07-07,3.05,31,63,36.599999999999994
90,Dustin,41687972,East Austin | 4 BR | Sleeps 11 | Patio + Backyard,328704272,no_group,78702,30.26951,-97.7034,entire home/apt,281,2,59,2021-07-07,3.43,2,226,41.160000000000004
91,Augusta,50519196,"Couples Retreat ★ WIFI, GYM, POOL, SNACKS & WINE ★",406188208,no_group,78741,30.22013,-97.70584,entire home/apt,88,2,1,2021-07-07,1.0,2,59,12.0
92,Connie,41859570,South Austin Tiny Cabin,234862684,no_group,78736,30.2358,-97.92589,entire home/apt,81,1,90,2021-07-07,23.68,1,163,284.15999999999997
93,Carol Ann,43897219,Peaceful Ultra Modern Convenience at CC's Crib,351387291,no_group,78750,30.45875,-97.81143,entire home/apt,84,2,38,2021-07-07,3.08,1,58,36.96
94,Katherine,9194049,Red Fence Farm Guest House,47828547,no_group,78738,30.29006,-98.05335,entire home/apt,225,2,104,2021-07-07,1.64,1,15,19.68
95,Elveda,50576709,ATX Luxury Comfort Getaway n/The DOMAIN & Kalahari,118410584,no_group,78728,30.44065,-97.68856,entire home/apt,189,2,1,2021-07-07,1.0,1,80,12.0
96,Christof,42244632,Lush Cottage | Porch | Super Hip Refuge,37996316,no_group,78741,30.22903,-97.69619,entire home/apt,100,1,79,2021-07-07,30.0,1,157,360.0
97,Jason,42248379,Cozy Riverside Loft - Minutes to Downtown Austin!,335610591,no_group,78741,30.23539,-97.72887,entire home/apt,107,30,91,2021-07-07,9.96,1,245,119.52000000000001
98,Akanksha,42284214,★Capital of Texas - Luxury★,99292666,no_group,78748,30.17894,-97.79115,entire home/apt,211,2,5,2021-07-07,0.31,1,103,3.7199999999999998
99,Michael,6612246,Relax in a Private Modern Garage Apartment in East Austin,1439593,no_group,78702,30.26747,-97.72034,entire home/apt,99,1,415,2021-07-07,5.59,2,47,67.08
100,Oscar,43663756,Urban Loft on Guadalupe - Great Windows & Location,297910679,no_group,78705,30.29714,-97.74074,entire home/apt,152,2,18,2021-07-07,1.88,1,1,22.56
101,Tiffany,7859914,Private Apt! Affordable. Close to Airport & DT,72957,no_group,78744,30.19225,-97.73784,entire home/apt,65,2,648,2021-07-07,11.73,1,164,140.76
102,Deacon,39833370,Garden Pad for 10+! Built for LOTS of FUN,4912146,no_group,78756,30.32013,-97.73087,entire home/apt,260,2,42,2021-07-07,4.81,20,242,57.72
103,Meshelle M,23860926,The Gonzales Austin Vibe and Close to Cool Eateries,7270902,no_group,78702,30.25635,-97.70003,entire home/apt,212,1,218,2021-07-07,7.59,15,190,91.08
104,Jerrod,45670057,**HOLISTIC RETREAT** East Austin Escape,73380782,no_group,78721,30.28217,-97.67999,entire home/apt,264,2,35,2021-07-07,6.29,1,218,75.48
105,May,38447033,Heated Pool Hot Tub Downtown 4 Bedrooms House,103821352,no_group,78752,30.33588,-97.70923,entire home/apt,434,1,122,2021-07-07,9.04,2,248,108.47999999999999
106,Wade,1795965,"Art Oasis in East Austin, Minutes to Downtown",9419950,no_group,78702,30.27679,-97.71519,entire home/apt,239,2,119,2021-07-07,1.4,1,336,16.799999999999997
107,UrbanStay,45831324,♛East Side Masterpiece ♫ 6th Street — 4 min walk♛,293556347,no_group,78702,30.26092,-97.72762,entire home/apt,245,3,41,2021-07-07,4.59,9,83,55.08
108,Barbara,1388265,CHA CHA CHA!,739362,no_group,78757,30.33892,-97.74536,entire home/apt,375,3,152,2021-07-06,2.35,6,245,28.200000000000003
109,Tad,46086789,NEW!!  Rustic Charm in a Luxury Setting!!,274009641,no_group,78736,30.23778,-97.97964,entire home/apt,175,2,43,2021-07-06,5.14,4,330,61.67999999999999
110,Marcelo,43777574,The Austinite,349895232,no_group,78753,30.38684,-97.66617,entire home/apt,113,30,2,2021-07-06,0.27,1,335,3.24
111,Fiona,46893627,Spacious Austin Home - Min from ATX Airport,3086224,no_group,78725,30.21507,-97.63669,entire home/apt,110,2,18,2021-07-06,10.59,1,35,127.08
112,Sean,42122720,The Redbud Ranch - Tranquil 3BR/2BA Urban Getaway!,2157243,no_group,78746,30.29513,-97.82216,entire home/apt,243,2,27,2021-07-06,9.42,8,200,113.03999999999999
113,Neal,28635902,Super-escape-work-family-clean-shops-15min from DT,49382935,no_group,78748,30.17611,-97.79067,entire home/apt,128,2,121,2021-07-06,3.8,2,239,45.599999999999994
114,Sophie,43874171,Starship Arrow Flite,254119744,no_group,78719,30.12532,-97.68494,entire home/apt,72,1,5,2021-07-06,2.46,4,220,29.52
115,Dylan,39558606,New + Modern 3 Bedroom House in Hip East Austin,19956526,no_group,78702,30.27582,-97.72043,entire home/apt,799,2,29,2021-07-06,1.64,4,71,19.68
116,Sophie,48677733,Studio downtown ATX walking distance to bars&food,392704843,no_group,78703,30.27571,-97.75682,entire home/apt,120,1,31,2021-07-06,8.61,3,110,103.32
117,Austin,45974888,East Austin Bungalow Just 1 mile to Downtown!!!,7216337,no_group,78702,30.26411,-97.70951,entire home/apt,123,2,30,2021-07-06,4.79,1,13,57.480000000000004
118,Howard,48621066,"Fresh South Central Home: Nightlife, Pool & Patio",239164630,no_group,78704,30.23817,-97.77127,entire home/apt,428,3,3,2021-07-06,3.0,2,105,36.0
119,Helen,28898451,Fabulous and Brand New Downtown Condo with parking,14520870,no_group,78702,30.26046,-97.72414,entire home/apt,137,1,104,2021-07-06,6.03,2,119,72.36
120,Femi,38738478,Cozy Bedroom near Airport,115469899,no_group,78725,30.21809,-97.63711,private room,37,1,55,2021-07-06,2.69,1,78,32.28
121,Kristine,2266768,21st-Century Granny Flat in Heart of East Austin,1507234,no_group,78702,30.27435,-97.72533,entire home/apt,93,1,577,2021-07-06,7.59,1,12,91.08
122,Abby,30234214,Savor the Treehouse Vibe at a Light-Filled Cherrywood Studio,4448210,no_group,78722,30.29164,-97.71594,entire home/apt,115,3,98,2021-07-06,4.18,1,47,50.16
123,WanderJaunt,47050508,WanderJaunt | Caney | 2BR | East Austin,104309976,no_group,78702,30.2588,-97.71683,entire home/apt,200,1,15,2021-07-06,2.34,142,120,28.08
124,Harry,46246820,2BR/2BTH - Downtown Austin/Zilker/6th St + Parking,38579994,no_group,78703,30.26893,-97.75264,entire home/apt,391,3,31,2021-07-06,3.94,1,82,47.28
125,Scott,38068135,1000sf Treetop Suite-bike to DT and Barton Spring,212153464,no_group,78704,30.25036,-97.78004,entire home/apt,149,2,17,2021-07-06,1.06,3,265,12.72
126,Alli,27933897,Explore Austin in a Creative and Cozy House in East Downtown,2991764,no_group,78702,30.26663,-97.71874,entire home/apt,300,5,28,2021-07-06,0.82,1,38,9.84
127,Steven & Jennifer,48160488,"SoLa Work + Stay w/ King Bed, Fast WiFi, Gym | 1BR",35817561,no_group,78704,30.23782,-97.78452,entire home/apt,108,1,12,2021-07-06,2.69,20,360,32.28
128,Lisa,43226901,Renovated Retro Airstream-- Perfect Staycation!,3227555,no_group,78702,30.27308,-97.72328,entire home/apt,82,4,9,2021-07-06,0.67,1,19,8.040000000000001
129,Cesar,25456126,Casita Poquita - Historic East Austin Retreat,83634068,no_group,78702,30.27329,-97.71911,entire home/apt,121,1,95,2021-07-06,2.79,1,322,33.480000000000004
130,Amy,49159011,"BIG yard, pool, tree top view, bring the kids!",355081377,no_group,78734,30.36683,-97.99802,entire home/apt,379,3,4,2021-07-06,4.0,1,55,48.0
131,Shara,25458381,11acre Retreat w/ Heated Pool & Hot Tub,153656274,no_group,78739,30.17388,-97.86194,entire home/apt,924,2,14,2021-07-06,14.0,1,173,168.0
132,Steven & Jennifer,49157130,"Chic & Cozy Staycation, Fast WiFi + King Bed | 1BR",35817561,no_group,78756,30.32194,-97.73137,entire home/apt,109,1,11,2021-07-06,7.33,20,355,87.96000000000001
133,Wenjie,43374509,New Chic Home Mins Walk to Downtown Austin/UT/DSMC,341154853,no_group,78702,30.27267,-97.72743,entire home/apt,341,2,57,2021-07-06,57.0,1,164,684.0
134,Meshelle M,43164865,Tranquil Casita | Full Kitchen | Chill Patio,7270902,no_group,78751,30.31782,-97.72917,entire home/apt,154,1,79,2021-07-06,9.92,15,145,119.03999999999999
135,Stay Local Austin,49139962,The South Congress Studio,18253226,no_group,78704,30.24181,-97.75117,entire home/apt,150,2,5,2021-07-06,2.24,31,337,26.880000000000003
136,Evan Alicia,49053968,Cozy Austin Back-House,45614806,no_group,78752,30.33064,-97.71946,entire home/apt,81,2,17,2021-07-06,11.33,1,128,135.96
137,Chung-Fu,46338510,☼ Work From Home in Style w/Japanese Lanterns | Fast WiFi | Comfy Bed | Gym,243684594,no_group,78704,30.23786,-97.78432,entire home/apt,110,1,13,2021-07-06,1.65,32,365,19.799999999999997
138,Creative,48996276,The Versailles Suite,386874262,no_group,78741,30.21918,-97.70799,entire home/apt,93,1,28,2021-07-06,28.0,5,296,336.0
139,Mike,5221542,Austin Traveler’s Retreat-Bachelor(ette)s Welcome!,26561222,no_group,78704,30.24259,-97.78476,entire home/apt,435,2,101,2021-07-06,2.22,1,64,26.64
140,Antwain,48903773,Gerti’s Bungalow,22225907,no_group,78741,30.23549,-97.69861,entire home/apt,163,2,16,2021-07-06,5.11,1,151,61.32000000000001
141,Adriana,2459802,SxSW  Modern TXstone house&lots charm!,6364170,no_group,78703,30.29597,-97.78039,entire home/apt,470,3,115,2021-07-06,1.67,2,308,20.04
142,Tobin,42537433,The Austin Experience,44664003,no_group,78704,30.24376,-97.77306,entire home/apt,93,2,24,2021-07-06,3.04,5,190,36.480000000000004
143,WanderJaunt,31262511,WanderJaunt | Burnet | Studio | South Congress,104309976,no_group,78704,30.22786,-97.76032,entire home/apt,146,1,125,2021-07-06,5.66,142,93,67.92
144,Sarah,48148977,Central ATX | Modern + Spotlessly Clean | King Bed,236026634,no_group,78703,30.28016,-97.75412,entire home/apt,132,1,16,2021-07-06,3.87,2,320,46.44
145,Nadia,44088049,Guest Suite in East Austin Bungalow,33112543,no_group,78721,30.27517,-97.68279,entire home/apt,75,2,119,2021-07-06,11.02,1,62,132.24
146,WanderJaunt,39533505,WanderJaunt | Underwood | 2BR | South Congress,104309976,no_group,78745,30.2108,-97.7732,entire home/apt,143,1,31,2021-07-06,1.53,142,168,18.36
147,Just,3689085,TajMaSmall Guest Suite,18775364,no_group,78757,30.33356,-97.73679,entire home/apt,103,2,319,2021-07-06,3.97,1,133,47.64
148,Ted,47076963,Secret Gardens of South Congress-Walkable Locale,42423432,no_group,78704,30.24968,-97.74762,entire home/apt,161,1,31,2021-07-06,6.99,2,160,83.88
149,Sean,2010358,Tiny House Downtown - Cozy and Fun!,2157243,no_group,78703,30.27835,-97.76208,entire home/apt,99,2,358,2021-07-06,7.27,8,202,87.24
150,Jim O',4224800,TinyTiny1 House -EZ in SxSAustin,1568741,no_group,78745,30.20988,-97.76899,private room,44,3,61,2021-07-06,0.86,8,358,10.32
151,Meshelle M,45331234,Luscious Casita | Full Kitchen | Outdoor Dining,7270902,no_group,78751,30.31889,-97.72923,entire home/apt,143,1,51,2021-07-06,7.36,15,165,88.32000000000001
152,Jonnie,45422090,East Side Guest House with Private Outdoors Space,984468,no_group,78702,30.26888,-97.72175,entire home/apt,97,1,86,2021-07-06,16.33,1,23,195.95999999999998
153,Zachary,47869382,Beautiful Art Gallery Residence,64572112,no_group,78745,30.2246,-97.79443,entire home/apt,399,2,26,2021-07-06,4.79,1,113,57.480000000000004
154,WanderJaunt,33247008,WanderJaunt | Alpine | Studio | South Congress,104309976,no_group,78704,30.22713,-97.76044,entire home/apt,99,1,72,2021-07-06,2.76,142,248,33.12
155,Christine,45585607,Prime Central Austin Location on the Greenbelt,34254,no_group,78746,30.25659,-97.79411,private room,85,2,2,2021-07-06,2.0,1,89,24.0
156,Benjamin,1906190,Entire Apt in Central ATX,3730648,no_group,78731,30.3132,-97.75101,entire home/apt,84,1,603,2021-07-06,9.59,2,292,115.08
157,Dijo,45440882,‘76 Rambler! Franklin Park Glamping-Pet Friendly,367565136,no_group,78744,30.19921,-97.74374,entire home/apt,106,1,39,2021-07-06,4.72,6,85,56.64
